"Rank"	"CCDS_ID"	"GENE_NAME"	"CHR"	"DESCRIPTION"	"N_SPECIES"	"PVAL"	"QVAL"	"FST"	"dNdS_REF"
"197"	"197"	"CCDS31007.1"	"CR2"	"chr1"	"complement component (3d/Epstein Barr virus) receptor 2"	7	0.00203	0.153	0.0392	0
"198"	"198"	"CCDS4614.1"	"BTN1A1"	"chr6"	"butyrophilin, subfamily 1, member A1"	7	0.00224	0.161	0	0
"199"	"199"	"CCDS32406.1"	"PALB2"	"chr16"	"partner and localizer of BRCA2"	4	0.00224	0.161	0.116	0
"200"	"200"	"CCDS1347.1"	"RNASEL"	"chr1"	"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)"	6	0.00224	0.161	0.00282	0
"201"	"201"	"CCDS12231.1"	"ICAM1"	"chr19"	"intercellular adhesion molecule 1"	5	0.00224	0.161	0.131	1
"202"	"202"	"CCDS31020.1"	"LOC149643"	"chr1"	"hypothetical LOC149643"	7	0.00224	0.161	0.133	0
"203"	"203"	"CCDS4515.1"	"TMEM14B"	"chr6"	"transmembrane protein 14B"	6	0.00224	0.161	0	0
"204"	"204"	"CCDS1020.1"	"LCE2B"	"chr1"	"late cornified envelope 2B"	4	0.00224	0.161	0.159	0
"205"	"205"	"CCDS5260.1"	"RSPH3"	"chr6"	"radial spoke 3 homolog (Chlamydomonas)"	6	0.00224	0.161	0	0
"206"	"206"	"CCDS1337.1"	"QSOX1"	"chr1"	"quiescin Q6 sulfhydryl oxidase 1"	6	0.00224	0.161	0.017	0
"207"	"207"	"CCDS9619.1"	"CHMP4A"	"chr14"	"chromatin modifying protein 4A"	3	0.00224	0.161	0.0461	0
"208"	"208"	"CCDS35041.1"	"C9orf135"	"chr9"	"chromosome 9 open reading frame 135"	6	0.00248	0.17	0.0679	0
"209"	"209"	"CCDS12078.1"	"BTBD2"	"chr19"	"BTB (POZ) domain containing 2"	7	0.00248	0.17	0.119	0
"210"	"210"	"CCDS955.1"	"ADAMTSL4"	"chr1"	"ADAMTS-like 4"	6	0.00248	0.17	0.078	0
"211"	"211"	"CCDS1984.1"	"GNLY"	"chr2"	"granulysin"	6	0.00248	0.17	0.203	0
"212"	"212"	"CCDS32772.1"	"STRA13"	"chr17"	"stimulated by retinoic acid 13 homolog (mouse)"	6	0.00248	0.17	0.0554	0
"213"	"213"	"CCDS1033.1"	"SPRR3"	"chr1"	"small proline-rich protein 3"	6	0.00248	0.17	0	0
"214"	"214"	"CCDS12175.1"	"EMR1"	"chr19"	"egf-like module containing, mucin-like, hormone receptor-like 1"	6	0.00248	0.17	0.168	0
"215"	"215"	"CCDS33077.1"	"ZNF473"	"chr19"	"zinc finger protein 473"	7	0.00248	0.17	0.198	0
"216"	"216"	"CCDS32593.1"	"IFT20"	"chr17"	"intraflagellar transport 20 homolog (Chlamydomonas)"	6	0.00248	0.17	0	0
"217"	"217"	"CCDS4558.1"	"THEM2"	"chr6"	"thioesterase superfamily member 2"	7	0.00248	0.17	0.0801	0
"218"	"218"	"CCDS7580.1"	"CASP7"	"chr10"	"caspase 7, apoptosis-related cysteine peptidase"	7	0.00274	0.181	0.0403	0
"219"	"219"	"CCDS2932.1"	"CPOX"	"chr3"	"coproporphyrinogen oxidase"	7	0.00274	0.181	0.231	1
"220"	"220"	"CCDS1891.2"	"GKN1"	"chr2"	"gastrokine 1"	6	0.00274	0.181	0.297	0
"221"	"221"	"CCDS895.1"	"MAN1A2"	"chr1"	"mannosidase, alpha, class 1A, member 2"	7	0.00274	0.181	0	0
"222"	"222"	"CCDS31908.1"	"TPCN1"	"chr12"	"two pore segment channel 1"	7	0.00274	0.181	0.0535	0
"223"	"223"	"CCDS1211.1"	"ITLN1"	"chr1"	"intelectin 1 (galactofuranose binding)"	6	0.00274	0.181	0.0154	0
"224"	"224"	"CCDS8383.1"	"BACE1"	"chr11"	"beta-site APP-cleaving enzyme 1"	7	0.00274	0.181	0.0172	0
"225"	"225"	"CCDS14278.1"	"ZNF157"	"chrX"	"zinc finger protein 157"	5	0.00274	0.181	NA	0
"226"	"226"	"CCDS33747.1"	"LTF"	"chr3"	"lactotransferrin"	4	0.00303	0.189	0.391	1
"227"	"227"	"CCDS30974.1"	"JARID1B"	"chr1"	"jumonji, AT rich interactive domain 1B"	7	0.00303	0.189	0	0
"228"	"228"	"CCDS13052.1"	"SLC4A11"	"chr20"	"solute carrier family 4, sodium borate transporter, member 11"	5	0.00303	0.189	0.107	0
"229"	"229"	"CCDS14618.1"	"AIFM1"	"chrX"	"apoptosis-inducing factor, mitochondrion-associated, 1"	7	0.00303	0.189	NA	0
"230"	"230"	"CCDS620.1"	"KANK4"	"chr1"	"KN motif and ankyrin repeat domains 4"	5	0.00303	0.189	0.0694	0
"231"	"231"	"CCDS33770.1"	"CCDC66"	"chr3"	"coiled-coil domain containing 66"	3	0.00303	0.189	0.0535	0
"232"	"232"	"CCDS31741.1"	"CLEC2D"	"chr12"	"C-type lectin domain family 2, member D"	5	0.00303	0.189	0	0
"233"	"233"	"CCDS12807.1"	"KLK3"	"chr19"	"kallikrein-related peptidase 3"	6	0.00303	0.189	0.0717	0
"234"	"234"	"CCDS12907.1"	"FCAR"	"chr19"	"Fc fragment of IgA, receptor for"	7	0.00303	0.189	0.247	0
"235"	"235"	"CCDS9923.1"	"SERPINA10"	"chr14"	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10"	4	0.00303	0.189	0.0734	0
"236"	"236"	"CCDS1265.1"	"ADCY10"	"chr1"	"adenylate cyclase 10 (soluble)"	6	0.00303	0.189	0.0646	0
"237"	"237"	"CCDS9600.1"	"MYH6"	"chr14"	"myosin, heavy chain 6, cardiac muscle, alpha"	5	0.00303	0.189	0.144	0
"238"	"238"	"CCDS5989.1"	"DLC1"	"chr8"	"deleted in liver cancer 1"	5	0.00303	0.189	0	0
"239"	"239"	"CCDS32087.1"	"KIAA0831"	"chr14"	"KIAA0831"	7	0.00335	0.199	0.0497	0
"240"	"240"	"CCDS7235.1"	"MSMB"	"chr10"	"microseminoprotein, beta-"	5	0.00335	0.199	0	0
"241"	"241"	"CCDS43413.1"	"BTNL8"	"chr5"	"butyrophilin-like 8"	4	0.00335	0.199	0	0
"242"	"242"	"CCDS10006.1"	"TMEM121"	"chr14"	"transmembrane protein 121"	6	0.00335	0.199	0.235	0
"243"	"243"	"CCDS33096.1"	"ZNF816A"	"chr19"	"zinc finger protein 816A"	3	0.00335	0.199	0.226	0
"244"	"244"	"CCDS31527.1"	"OR8K3"	"chr11"	"olfactory receptor, family 8, subfamily K, member 3"	3	0.00335	0.199	0	0
"245"	"245"	"CCDS31393.1"	"TRIM5"	"chr11"	"tripartite motif-containing 5"	6	0.00335	0.199	0.0197	0
"246"	"246"	"CCDS41741.1"	"IFFO1"	"chr12"	"intermediate filament family orphan 1"	7	0.00335	0.199	0.0592	0
"247"	"247"	"CCDS14169.1"	"ACE2"	"chrX"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"	7	0.00335	0.199	NA	0
"248"	"248"	"CCDS8612.1"	"CLEC1A"	"chr12"	"C-type lectin domain family 1, member A"	7	0.00335	0.199	0.0764	0
"249"	"249"	"CCDS5869.1"	"TAS2R5"	"chr7"	"taste receptor, type 2, member 5"	6	0.00335	0.199	0.358	0
"250"	"250"	"CCDS5279.1"	"PLG"	"chr6"	"plasminogen"	7	0.0037	0.209	0	0
"251"	"251"	"CCDS33063.1"	"C5AR1"	"chr19"	"complement component 5a receptor 1"	5	0.0037	0.209	0	0
"252"	"252"	"CCDS31374.1"	"OR52A1"	"chr11"	"olfactory receptor, family 52, subfamily A, member 1"	6	0.0037	0.209	0.107	0
"253"	"253"	"CCDS7954.1"	"PRG3"	"chr11"	"proteoglycan 3"	6	0.0037	0.209	0.0714	0
"254"	"254"	"CCDS42957.1"	"KRTAP10-4"	"chr21"	"keratin associated protein 10-4"	3	0.0037	0.209	0.13	0
"255"	"255"	"CCDS14029.1"	"WBP2NL"	"chr22"	"WBP2 N-terminal like"	7	0.0037	0.209	0.0885	0
"256"	"256"	"CCDS10087.1"	"SNAP23"	"chr15"	"synaptosomal-associated protein, 23kDa"	7	0.0037	0.209	0.107	0
"257"	"257"	"CCDS41927.1"	"DHRS2"	"chr14"	"dehydrogenase/reductase (SDR family) member 2"	5	0.0037	0.209	0.124	0
"258"	"258"	"CCDS13840.1"	"CRYBB1"	"chr22"	"crystallin, beta B1"	7	0.0037	0.209	0	0
"259"	"259"	"CCDS976.1"	"FAM63A"	"chr1"	"family with sequence similarity 63, member A"	7	0.0037	0.209	0.0186	0
"260"	"260"	"CCDS41270.1"	"FAM131C"	"chr1"	"family with sequence similarity 131, member C"	4	0.0037	0.209	0.0683	0
"261"	"261"	"CCDS11380.1"	"KRT23"	"chr17"	"keratin 23 (histone deacetylase inducible)"	7	0.0037	0.209	0.0549	0
"262"	"262"	"CCDS33912.1"	"CCDC50"	"chr3"	"coiled-coil domain containing 50"	7	0.0037	0.209	0.352	0
"263"	"263"	"CCDS6080.1"	"TEX15"	"chr8"	"testis expressed 15"	4	0.0037	0.209	0.23	0
"264"	"264"	"CCDS3250.1"	"HTR3C"	"chr3"	"5-hydroxytryptamine (serotonin) receptor 3, family member C"	4	0.00409	0.218	0.0933	0
"265"	"265"	"CCDS5126.1"	"PKIB"	"chr6"	"protein kinase (cAMP-dependent, catalytic) inhibitor beta"	7	0.00409	0.218	NA	0
"266"	"266"	"CCDS4924.1"	"MUT"	"chr6"	"methylmalonyl Coenzyme A mutase"	7	0.00409	0.218	0	0
"267"	"267"	"CCDS4957.1"	"GFRAL"	"chr6"	"GDNF family receptor alpha like"	7	0.00409	0.218	0.0408	0
"268"	"268"	"CCDS7977.1"	"GIF"	"chr11"	"gastric intrinsic factor (vitamin B synthesis)"	7	0.00409	0.218	0.0747	0
"269"	"269"	"CCDS3004.1"	"GOLGB1"	"chr3"	"golgin B1, golgi integral membrane protein"	5	0.00409	0.218	0.0472	0
"270"	"270"	"CCDS6773.1"	"IKBKAP"	"chr9"	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein"	7	0.00409	0.218	0.0447	0
"271"	"271"	"CCDS4099.1"	"PJA2"	"chr5"	"praja 2, RING-H2 motif containing"	6	0.00409	0.218	0.217	0
"272"	"272"	"CCDS12270.1"	"ZNF563"	"chr19"	"zinc finger protein 563"	5	0.00409	0.218	0	0
"273"	"273"	"CCDS42414.1"	"TXNDC2"	"chr18"	"thioredoxin domain-containing 2 (spermatozoa)"	5	0.00409	0.218	0.00296	0
"274"	"274"	"CCDS7832.1"	"SAA4"	"chr11"	"serum amyloid A4, constitutive"	5	0.00409	0.218	0.112	0
"275"	"275"	"CCDS2770.1"	"SHISA5"	"chr3"	"shisa homolog 5 (Xenopus laevis)"	5	0.00409	0.218	0.0538	0
"276"	"276"	"CCDS6809.1"	"TNFSF15"	"chr9"	"tumor necrosis factor (ligand) superfamily, member 15"	7	0.00409	0.218	0	0
"277"	"277"	"CCDS13492.1"	"GTPBP5"	"chr20"	"GTP binding protein 5 (putative)"	6	0.00409	0.218	0	0
"278"	"278"	"CCDS2848.1"	"TLR9"	"chr3"	"toll-like receptor 9"	5	0.00409	0.218	0.124	0
"279"	"279"	"CCDS12935.1"	"NLRP11"	"chr19"	"NLR family, pyrin domain containing 11"	5	0.00452	0.233	0.055	0
"280"	"280"	"CCDS11896.1"	"DSG1"	"chr18"	"desmoglein 1"	3	0.00452	0.233	0.133	1
"281"	"281"	"CCDS33437.1"	"VISA"	"chr20"	"virus-induced signaling adapter"	7	0.00452	0.233	0.0208	0
"282"	"282"	"CCDS11050.1"	"ARRB2"	"chr17"	"arrestin, beta 2"	7	0.00452	0.233	0.024	0
"283"	"283"	"CCDS42058.1"	"CCDC33"	"chr15"	"coiled-coil domain containing 33"	4	0.00452	0.233	0.178	0
"284"	"284"	"CCDS7990.1"	"MS4A8B"	"chr11"	"membrane-spanning 4-domains, subfamily A, member 8B"	7	0.00452	0.233	0	0
"285"	"285"	"CCDS7972.1"	"FAM111B"	"chr11"	"family with sequence similarity 111, member B"	3	0.00452	0.233	0.0774	1
"286"	"286"	"CCDS13623.1"	"IL10RB"	"chr21"	"interleukin 10 receptor, beta"	7	0.00452	0.233	0.0568	0
"287"	"287"	"CCDS1972.1"	"RETSAT"	"chr2"	"retinol saturase (all-trans-retinol 13,14-reductase)"	5	0.00452	0.233	0	0
"288"	"288"	"CCDS4970.1"	"COL19A1"	"chr6"	"collagen, type XIX, alpha 1"	7	0.00452	0.233	0	0
"289"	"289"	"CCDS43187.1"	"ATP13A3"	"chr3"	"ATPase type 13A3"	4	0.00499	0.249	0.0284	0
"290"	"290"	"CCDS11604.1"	"MPO"	"chr17"	"myeloperoxidase"	7	0.00499	0.249	0.024	0
"291"	"291"	"CCDS9587.1"	"ACIN1"	"chr14"	"apoptotic chromatin condensation inducer 1"	6	0.00499	0.249	0.0203	0
"292"	"292"	"CCDS8268.1"	"TMEM126A"	"chr11"	"transmembrane protein 126A"	6	0.00499	0.249	0	0
"293"	"293"	"CCDS237.1"	"ID3"	"chr1"	"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"	7	0.00499	0.249	0.216	0
"294"	"294"	"CCDS42166.1"	"MT1M"	"chr16"	"metallothionein 1M"	4	0.00499	0.249	0.149	0
"295"	"295"	"CCDS9050.1"	"NDUFA12"	"chr12"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12"	7	0.00499	0.249	0	0
"296"	"296"	"CCDS33682.1"	"ADM2"	"chr22"	"adrenomedullin 2"	3	0.00499	0.249	0.0624	0
"297"	"297"	"CCDS3919.1"	"SLC1A3"	"chr5"	"solute carrier family 1 (glial high affinity glutamate transporter), member 3"	7	0.00499	0.249	0	0
"298"	"298"	"CCDS12364.1"	"B3GNT3"	"chr19"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"	6	0.00499	0.249	0.0791	0
"299"	"299"	"CCDS9698.1"	"L2HGDH"	"chr14"	"L-2-hydroxyglutarate dehydrogenase"	7	0.00552	0.258	0	0
"300"	"300"	"CCDS11881.1"	"CABYR"	"chr18"	"calcium binding tyrosine-(Y)-phosphorylation regulated"	5	0.00552	0.258	0	0
"301"	"301"	"CCDS12976.1"	"A1BG"	"chr19"	"alpha-1-B glycoprotein"	6	0.00552	0.258	0.0482	0
"302"	"302"	"CCDS11083.1"	"TEKT1"	"chr17"	"tektin 1"	7	0.00552	0.258	0.0757	0
"303"	"303"	"CCDS6779.1"	"PTGR1"	"chr9"	"prostaglandin reductase 1"	6	0.00552	0.258	0	0
"304"	"304"	"CCDS4526.1"	"SIRT5"	"chr6"	"sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae)"	7	0.00552	0.258	0.0673	0
"305"	"305"	"CCDS4855.1"	"NCR2"	"chr6"	"natural cytotoxicity triggering receptor 2"	6	0.00552	0.258	0	0
"306"	"306"	"CCDS7985.1"	"MS4A7"	"chr11"	"membrane-spanning 4-domains, subfamily A, member 7"	7	0.00552	0.258	0	0
"307"	"307"	"CCDS10765.1"	"MT1B"	"chr16"	"metallothionein 1B"	4	0.00552	0.258	0.149	0
"308"	"308"	"CCDS42182.1"	"CENPT"	"chr16"	"centromere protein T"	4	0.00552	0.258	0.0961	0
"309"	"309"	"CCDS9927.1"	"SERPINA4"	"chr14"	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4"	7	0.00552	0.258	0.103	0
"310"	"310"	"CCDS8561.1"	"LAG3"	"chr12"	"lymphocyte-activation gene 3"	7	0.00552	0.258	0.241	0
"311"	"311"	"CCDS3578.1"	"STBD1"	"chr4"	"starch binding domain 1"	6	0.00552	0.258	0	0
"312"	"312"	"CCDS6860.1"	"GOLGA1"	"chr9"	"golgi autoantigen, golgin subfamily a, 1"	7	0.00552	0.258	0.0693	0
"313"	"313"	"CCDS12902.1"	"LILRB4"	"chr19"	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4"	3	0.00552	0.258	0.047	0
"314"	"314"	"CCDS9864.1"	"THSD3"	"chr14"	"thrombospondin, type I, domain containing 3"	6	0.00552	0.258	0.187	0
"315"	"315"	"CCDS5523.1"	"CCT6A"	"chr7"	"chaperonin containing TCP1, subunit 6A (zeta 1)"	6	0.00552	0.258	0	0
"316"	"316"	"CCDS12299.1"	"C19orf57"	"chr19"	"chromosome 19 open reading frame 57"	5	0.00552	0.258	0.244	0
"317"	"317"	"CCDS43744.1"	"CSPP1"	"chr8"	"centrosome and spindle pole associated protein 1"	3	0.00552	0.258	0	0
"318"	"318"	"CCDS13104.1"	"PLCB4"	"chr20"	"phospholipase C, beta 4"	7	0.0061	0.274	0	0
"319"	"319"	"CCDS33564.1"	"TMPRSS2"	"chr21"	"transmembrane protease, serine 2"	7	0.0061	0.274	0.109	0
"320"	"320"	"CCDS3009.1"	"CD86"	"chr3"	"CD86 molecule"	6	0.0061	0.274	0	0
"321"	"321"	"CCDS13982.1"	"APOBEC3B"	"chr22"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	4	0.0061	0.274	0.205	0
"322"	"322"	"CCDS13594.2"	"KRTAP19-1"	"chr21"	"keratin associated protein 19-1"	5	0.0061	0.274	0.193	0
"323"	"323"	"CCDS5110.1"	"ZUFSP"	"chr6"	"zinc finger with UFM1-specific peptidase domain"	5	0.0061	0.274	0.16	0
"324"	"324"	"CCDS3992.1"	"CD180"	"chr5"	"CD180 molecule"	7	0.0061	0.274	0.0687	0
"325"	"325"	"CCDS11229.1"	"VTN"	"chr17"	"vitronectin"	7	0.0061	0.274	0.0918	0
"326"	"326"	"CCDS11055.1"	"VMO1"	"chr17"	"vitelline membrane outer layer 1 homolog (chicken)"	6	0.0061	0.274	0.0342	0
"327"	"327"	"CCDS12106.1"	"BRUNOL5"	"chr19"	"bruno-like 5, RNA binding protein (Drosophila)"	7	0.0061	0.274	0.0486	0
"328"	"328"	"CCDS13710.1"	"TRPM2"	"chr21"	"transient receptor potential cation channel, subfamily M, member 2"	6	0.0061	0.274	0.118	0
"329"	"329"	"CCDS10691.1"	"RNF40"	"chr16"	"ring finger protein 40"	7	0.0061	0.274	0.0441	0
"330"	"330"	"CCDS42769.1"	"XIRP2"	"chr2"	"xin actin-binding repeat containing 2"	3	0.0061	0.274	0.152	0
"331"	"331"	"CCDS3796.1"	"GLRB"	"chr4"	"glycine receptor, beta"	7	0.00674	0.287	0	0
"332"	"332"	"CCDS4677.1"	"TRIM15"	"chr6"	"tripartite motif-containing 15"	6	0.00674	0.287	0.0449	0
"333"	"333"	"CCDS42659.1"	"FLJ30851"	"chr2"	"hypothetical LOC653140"	4	0.00674	0.287	0.00647	0
"334"	"334"	"CCDS13048.1"	"FASTKD5"	"chr20"	"FAST kinase domains 5"	7	0.00674	0.287	0.152	0
"335"	"335"	"CCDS12457.1"	"CD22"	"chr19"	"CD22 molecule"	6	0.00674	0.287	0.0443	0
"336"	"336"	"CCDS8883.1"	"LACRT"	"chr12"	"lacritin"	7	0.00674	0.287	0.0535	0
"337"	"337"	"CCDS2764.1"	"FBXW12"	"chr3"	"F-box and WD repeat domain containing 12"	5	0.00674	0.287	0.0687	0
"338"	"338"	"CCDS8635.1"	"TAS2R13"	"chr12"	"taste receptor, type 2, member 13"	4	0.00674	0.287	0.161	0
"339"	"339"	"CCDS709.1"	"CLCA1"	"chr1"	"CLCA family member 1, chloride channel regulator"	7	0.00674	0.287	0.0754	0
"340"	"340"	"CCDS13859.1"	"THOC5"	"chr22"	"THO complex 5"	7	0.00674	0.287	0.0277	0
"341"	"341"	"CCDS35229.1"	"RPGR"	"chrX"	"retinitis pigmentosa GTPase regulator"	4	0.00674	0.287	NA	0
"342"	"342"	"CCDS1625.1"	"C1orf101"	"chr1"	"chromosome 1 open reading frame 101"	5	0.00674	0.287	0	0
"343"	"343"	"CCDS35222.1"	"WDR42B"	"chrX"	"WD repeat domain 42B"	5	0.00674	0.287	NA	0
"344"	"344"	"CCDS9567.1"	"RNASE8"	"chr14"	"ribonuclease, RNase A family, 8"	5	0.00674	0.287	0.0806	0
"345"	"345"	"CCDS8590.1"	"CLEC4A"	"chr12"	"C-type lectin domain family 4, member A"	7	0.00674	0.287	0.0722	0
"346"	"346"	"CCDS3143.1"	"TM4SF1"	"chr3"	"transmembrane 4 L six family member 1"	7	0.00674	0.287	0	1
"347"	"347"	"CCDS1385.1"	"CFH"	"chr1"	"complement factor H"	4	0.00674	0.287	0.0848	1
"348"	"348"	"CCDS6783.1"	"SUSD1"	"chr9"	"sushi domain containing 1"	6	0.00674	0.287	0.0438	0
"349"	"349"	"CCDS9081.1"	"UTP20"	"chr12"	"UTP20, small subunit (SSU) processome component, homolog (yeast)"	7	0.00745	0.301	0	0
"350"	"350"	"CCDS34671.1"	"CCDC146"	"chr7"	"coiled-coil domain containing 146"	5	0.00745	0.301	0.0535	0
"351"	"351"	"CCDS43260.1"	"SEC24B"	"chr4"	"SEC24 family, member B (S. cerevisiae)"	4	0.00745	0.301	0	0
"352"	"352"	"CCDS1436.1"	"CHIT1"	"chr1"	"chitinase 1 (chitotriosidase)"	7	0.00745	0.301	0.0872	0
"353"	"353"	"CCDS6946.1"	"NTNG2"	"chr9"	"netrin G2"	7	0.00745	0.301	0	0
"354"	"354"	"CCDS11700.1"	"CD300LB"	"chr17"	"CD300 molecule-like family member b"	6	0.00745	0.301	0.246	0
"355"	"355"	"CCDS2231.1"	"DHRS9"	"chr2"	"dehydrogenase/reductase (SDR family) member 9"	7	0.00745	0.301	0.144	0
"356"	"356"	"CCDS13906.1"	"BPIL2"	"chr22"	"bactericidal/permeability-increasing protein-like 2"	7	0.00745	0.301	0.0959	0
"357"	"357"	"CCDS43419.1"	"C6orf201"	"chr6"	"chromosome 6 open reading frame 201"	4	0.00745	0.301	0.0222	0
"358"	"358"	"CCDS41662.1"	"RARRES3"	"chr11"	"retinoic acid receptor responder (tazarotene induced) 3"	4	0.00745	0.301	0.109	0
"359"	"359"	"CCDS11279.1"	"CCL11"	"chr17"	"chemokine (C-C motif) ligand 11"	6	0.00745	0.301	0.0527	0
"360"	"360"	"CCDS11758.1"	"TIMP2"	"chr17"	"TIMP metallopeptidase inhibitor 2"	7	0.00745	0.301	0.0267	0
"361"	"361"	"CCDS41683.1"	"KRTAP5-8"	"chr11"	"keratin associated protein 5-8"	3	0.00745	0.301	0	1
"362"	"362"	"CCDS2128.1"	"TMEM177"	"chr2"	"transmembrane protein 177"	6	0.00745	0.301	0.171	0
"363"	"363"	"CCDS6914.1"	"PHYHD1"	"chr9"	"phytanoyl-CoA dioxygenase domain containing 1"	7	0.00745	0.301	0.11	0
"364"	"364"	"CCDS5982.1"	"BLK"	"chr8"	"B lymphoid tyrosine kinase"	6	0.00745	0.301	0.0063	0
"365"	"365"	"CCDS43015.1"	"TRIOBP"	"chr22"	"TRIO and F-actin binding protein"	4	0.00745	0.301	0.173	0
"366"	"366"	"CCDS8823.1"	"KRT83"	"chr12"	"keratin 83"	3	0.00745	0.301	0.0523	0
"367"	"367"	"CCDS42169.1"	"CNGB1"	"chr16"	"cyclic nucleotide gated channel beta 1"	4	0.00745	0.301	0.0749	0
"368"	"368"	"CCDS33502.1"	"LAMA5"	"chr20"	"laminin, alpha 5"	6	0.00823	0.321	0.158	0
"369"	"369"	"CCDS34732.1"	"LAMB4"	"chr7"	"laminin, beta 4"	5	0.00823	0.321	0.0952	0
"370"	"370"	"CCDS8249.1"	"GDPD4"	"chr11"	"glycerophosphodiester phosphodiesterase domain containing 4"	6	0.00823	0.321	0.289	0
"371"	"371"	"CCDS31544.1"	"OR9Q2"	"chr11"	"olfactory receptor, family 9, subfamily Q, member 2"	6	0.00823	0.321	0.167	0
"372"	"372"	"CCDS31278.1"	"SH3PXD2A"	"chr10"	"SH3 and PX domains 2A"	7	0.00823	0.321	0.0174	0
"373"	"373"	"CCDS9602.1"	"AP1G2"	"chr14"	"adaptor-related protein complex 1, gamma 2 subunit"	6	0.00823	0.321	0.124	0
"374"	"374"	"CCDS43663.1"	"TAS2R41"	"chr7"	"taste receptor, type 2, member 41"	4	0.00823	0.321	0.0349	0
"375"	"375"	"CCDS4751.1"	"HLA-DRB5"	"chr6"	"major histocompatibility complex, class II, DR beta 5"	4	0.00823	0.321	0.284	0
"376"	"376"	"CCDS34264.1"	"PLAC8L1"	"chr5"	"PLAC8-like 1"	7	0.00823	0.321	0.177	0
"377"	"377"	"CCDS6409.2"	"MAPK15"	"chr8"	"mitogen-activated protein kinase 15"	3	0.00823	0.321	0.113	0
"378"	"378"	"CCDS4462.1"	"TRIM7"	"chr5"	"tripartite motif-containing 7"	5	0.00823	0.321	0.116	0
"379"	"379"	"CCDS7659.1"	"MKI67"	"chr10"	"antigen identified by monoclonal antibody Ki-67"	5	0.00823	0.321	0.119	0
"380"	"380"	"CCDS899.1"	"SPAG17"	"chr1"	"sperm associated antigen 17"	7	0.00823	0.321	0	0
"381"	"381"	"CCDS13201.1"	"ASXL1"	"chr20"	"additional sex combs like 1 (Drosophila)"	6	0.00823	0.321	0.0715	0
"382"	"382"	"CCDS11155.1"	"MYH1"	"chr17"	"myosin, heavy chain 1, skeletal muscle, adult"	7	0.0091	0.34	0.0291	0
"383"	"383"	"CCDS8577.1"	"CD163L1"	"chr12"	"CD163 molecule-like 1"	7	0.0091	0.34	0.157	0
"384"	"384"	"CCDS2121.2"	"CCDC93"	"chr2"	"coiled-coil domain containing 93"	7	0.0091	0.34	0	0
"385"	"385"	"CCDS14219.1"	"MAGEB2"	"chrX"	"melanoma antigen family B, 2"	6	0.0091	0.34	NA	0
"386"	"386"	"CCDS3041.1"	"CHCHD6"	"chr3"	"coiled-coil-helix-coiled-coil-helix domain containing 6"	7	0.0091	0.34	0.0155	0
"387"	"387"	"CCDS6508.1"	"IFNA1"	"chr9"	"interferon, alpha 1"	6	0.0091	0.34	0	0
"388"	"388"	"CCDS8974.1"	"C12orf31"	"chr12"	"chromosome 12 open reading frame 31"	5	0.0091	0.34	0.26	0
"389"	"389"	"CCDS10629.1"	"IL4R"	"chr16"	"interleukin 4 receptor"	7	0.0091	0.34	0.386	0
"390"	"390"	"CCDS14488.1"	"ARMCX6"	"chrX"	"armadillo repeat containing, X-linked 6"	6	0.0091	0.34	NA	0
"391"	"391"	"CCDS9489.1"	"SLC15A1"	"chr13"	"solute carrier family 15 (oligopeptide transporter), member 1"	7	0.0091	0.34	0.264	0
"392"	"392"	"CCDS41436.1"	"C1orf129"	"chr1"	"chromosome 1 open reading frame 129"	4	0.0091	0.34	0	0
"393"	"393"	"CCDS41907.1"	"COL4A2"	"chr13"	"collagen, type IV, alpha 2"	4	0.0091	0.34	0	0
"394"	"394"	"CCDS9626.1"	"LTB4R"	"chr14"	"leukotriene B4 receptor"	7	0.0091	0.34	0.0321	0
"395"	"395"	"CCDS7763.1"	"HPX"	"chr11"	"hemopexin"	7	0.0091	0.34	0.0256	0
"396"	"396"	"CCDS2260.1"	"WIPF1"	"chr2"	"WAS/WASL interacting protein family, member 1"	5	0.0091	0.34	0.0539	0
"397"	"397"	"CCDS11637.1"	"ACE"	"chr17"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"	7	0.0091	0.34	0.0814	0
"398"	"398"	"CCDS3325.1"	"MFI2"	"chr3"	"antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5"	7	0.0101	0.352	0	0
"399"	"399"	"CCDS31669.1"	"ATM"	"chr11"	"ataxia telangiectasia mutated"	6	0.0101	0.352	0.0535	0
"400"	"400"	"CCDS1332.1"	"TDRD5"	"chr1"	"tudor domain containing 5"	7	0.0101	0.352	0	0
